Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-25 09:30:00-05:00,34213.0390625,34247.0390625,34199.5703125,34244.91015625,0,0,0
2022-11-25 09:31:00-05:00,34246.390625,34260.91015625,34240.87890625,34251.0703125,1565115,0,0
2022-11-25 09:32:00-05:00,34248.9296875,34248.9296875,34235.12109375,34240.01171875,792346,0,0
2022-11-25 09:33:00-05:00,34240.578125,34251.6015625,34237.30859375,34250.26171875,731858,0,0
2022-11-25 09:34:00-05:00,34251.80859375,34256.41015625,34245.6796875,34256.41015625,931133,0,0
2022-11-25 09:35:00-05:00,34255.94140625,34268.890625,34244.94921875,34267.5,1034769,0,0
2022-11-25 09:36:00-05:00,34267.58984375,34282.62109375,34267.58984375,34275.08984375,858661,0,0
2022-11-25 09:37:00-05:00,34275.421875,34277.171875,34269.390625,34271.78125,919669,0,0
2022-11-25 09:38:00-05:00,34275.41015625,34286.3984375,34270.26953125,34271.7109375,699193,0,0
2022-11-25 09:39:00-05:00,34271.1484375,34273.48828125,34249.359375,34249.359375,773849,0,0
2022-11-25 09:40:00-05:00,34249.05078125,34257.578125,34225.62109375,34247.94140625,973148,0,0
2022-11-25 09:41:00-05:00,34247.69921875,34255.4609375,34236.33984375,34254.48046875,736955,0,0
2022-11-25 09:42:00-05:00,34253.9609375,34258.62109375,34249.4296875,34256.44921875,620848,0,0
2022-11-25 09:43:00-05:00,34256.78125,34268.0703125,34253.80078125,34259.01171875,744951,0,0
2022-11-25 09:44:00-05:00,34257.37890625,34265.7109375,34256.1796875,34264.73046875,649203,0,0
2022-11-25 09:45:00-05:00,34265.01171875,34280.73046875,34260.76953125,34280.73046875,685677,0,0
2022-11-25 09:46:00-05:00,34280.83984375,34289.8515625,34277.51171875,34281.46875,621380,0,0
2022-11-25 09:47:00-05:00,34282.3203125,34287.30859375,34278.328125,34282.48828125,590726,0,0
2022-11-25 09:48:00-05:00,34282.30859375,34287.66015625,34277.48046875,34282.80078125,523852,0,0
2022-11-25 09:49:00-05:00,34282.8515625,34291.828125,34282.8515625,34283.51953125,667185,0,0
2022-11-25 09:50:00-05:00,34283.8203125,34295.609375,34283.76953125,34288.3203125,591327,0,0
2022-11-25 09:51:00-05:00,34289.8203125,34296.4609375,34289.8203125,34295.80078125,594527,0,0
2022-11-25 09:52:00-05:00,34296.078125,34300.76953125,34292.890625,34300.76953125,574574,0,0
2022-11-25 09:53:00-05:00,34301.0,34314.23828125,34300.76953125,34314.23828125,755963,0,0
2022-11-25 09:54:00-05:00,34314.91015625,34317.078125,34308.140625,34313.921875,552661,0,0
2022-11-25 09:55:00-05:00,34313.76171875,34315.76953125,34308.41015625,34311.1484375,719351,0,0
2022-11-25 09:56:00-05:00,34311.328125,34331.51953125,34311.328125,34330.78125,695706,0,0
2022-11-25 09:57:00-05:00,34329.76171875,34338.05078125,34328.578125,34332.3515625,613744,0,0
2022-11-25 09:58:00-05:00,34334.44921875,34336.5390625,34324.53125,34326.55078125,530147,0,0
2022-11-25 09:59:00-05:00,34325.66015625,34328.078125,34320.2890625,34327.5390625,447703,0,0
2022-11-25 10:00:00-05:00,34327.2890625,34333.21875,34327.08984375,34330.171875,780041,0,0
2022-11-25 10:01:00-05:00,34330.3203125,34342.03125,34330.109375,34337.94921875,592280,0,0
2022-11-25 10:02:00-05:00,34338.28125,34338.28125,34332.671875,34335.66015625,618807,0,0
2022-11-25 10:03:00-05:00,34336.87890625,34346.3515625,34333.921875,34343.48828125,515404,0,0
2022-11-25 10:04:00-05:00,34343.87890625,34347.23828125,34340.0703125,34340.0703125,537136,0,0
2022-11-25 10:05:00-05:00,34340.921875,34345.91015625,34336.53125,34345.75,599163,0,0
2022-11-25 10:06:00-05:00,34345.2890625,34355.71875,34345.16015625,34351.2890625,537355,0,0
2022-11-25 10:07:00-05:00,34351.83984375,34358.2890625,34351.83984375,34358.0390625,679903,0,0
2022-11-25 10:08:00-05:00,34357.3515625,34365.44921875,34354.9609375,34355.87109375,554292,0,0
2022-11-25 10:09:00-05:00,34355.69921875,34355.69921875,34346.51171875,34348.25,568316,0,0
2022-11-25 10:10:00-05:00,34346.66015625,34354.75,34345.87109375,34346.05078125,492595,0,0
2022-11-25 10:11:00-05:00,34344.51953125,34345.94140625,34336.80859375,34345.21875,540148,0,0
2022-11-25 10:12:00-05:00,34345.859375,34351.16015625,34344.98828125,34347.671875,421786,0,0
2022-11-25 10:13:00-05:00,34346.80859375,34347.76953125,34333.44140625,34333.9296875,489385,0,0
2022-11-25 10:14:00-05:00,34333.66015625,34335.51953125,34328.16015625,34328.69921875,345720,0,0
2022-11-25 10:15:00-05:00,34329.26171875,34329.46875,34314.55859375,34316.1015625,1829374,0,0
