Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-08-03 09:30:00-04:00,12975.2490234375,12999.0546875,12975.2490234375,12999.0546875,0,0,0
2022-08-03 09:31:00-04:00,13005.248046875,13010.884765625,12997.89453125,12998.080078125,9117253,0,0
2022-08-03 09:32:00-04:00,13002.2578125,13019.4794921875,13002.2578125,13016.6904296875,6046891,0,0
2022-08-03 09:33:00-04:00,13016.6865234375,13035.77734375,13016.6865234375,13035.77734375,5765711,0,0
2022-08-03 09:34:00-04:00,13039.0029296875,13039.0029296875,13019.3291015625,13024.224609375,6727675,0,0
2022-08-03 09:35:00-04:00,13026.9267578125,13027.8212890625,13023.55859375,13024.068359375,5581370,0,0
2022-08-03 09:36:00-04:00,13028.7158203125,13045.1318359375,13023.3994140625,13045.1318359375,5684907,0,0
2022-08-03 09:37:00-04:00,13044.373046875,13052.1435546875,13043.173828125,13043.173828125,3544108,0,0
2022-08-03 09:38:00-04:00,13047.671875,13064.09375,13047.671875,13059.6064453125,8648138,0,0
2022-08-03 09:39:00-04:00,13060.3056640625,13064.8955078125,13058.98828125,13059.0322265625,4450286,0,0
2022-08-03 09:40:00-04:00,13060.494140625,13066.5146484375,13056.9111328125,13061.2509765625,5030798,0,0
2022-08-03 09:41:00-04:00,13062.23828125,13062.23828125,13057.0185546875,13061.25390625,5032638,0,0
2022-08-03 09:42:00-04:00,13060.708984375,13060.708984375,13047.4990234375,13054.9091796875,3940945,0,0
2022-08-03 09:43:00-04:00,13052.8369140625,13066.3798828125,13052.8369140625,13061.3818359375,4337308,0,0
2022-08-03 09:44:00-04:00,13060.935546875,13060.935546875,13054.380859375,13054.380859375,3789433,0,0
2022-08-03 09:45:00-04:00,13056.30859375,13062.787109375,13050.8173828125,13052.2890625,4028362,0,0
2022-08-03 09:46:00-04:00,13046.7099609375,13046.7099609375,13040.11328125,13040.11328125,2395558,0,0
2022-08-03 09:47:00-04:00,13028.6064453125,13036.1708984375,13025.9375,13031.90234375,6175134,0,0
2022-08-03 09:48:00-04:00,13033.53515625,13051.4130859375,13033.53515625,13051.4130859375,3750707,0,0
2022-08-03 09:49:00-04:00,13051.2685546875,13058.3994140625,13051.2685546875,13056.2978515625,3819438,0,0
2022-08-03 09:50:00-04:00,13060.2958984375,13066.064453125,13055.150390625,13058.6943359375,3274724,0,0
2022-08-03 09:51:00-04:00,13063.58984375,13069.064453125,13053.8544921875,13054.5849609375,3627025,0,0
2022-08-03 09:52:00-04:00,13053.2021484375,13058.62109375,13052.611328125,13053.6171875,3378000,0,0
2022-08-03 09:53:00-04:00,13057.0498046875,13068.72265625,13057.0498046875,13064.62890625,3733593,0,0
2022-08-03 09:54:00-04:00,13067.330078125,13080.3212890625,13067.330078125,13078.6904296875,3608630,0,0
2022-08-03 09:55:00-04:00,13081.9228515625,13084.572265625,13078.8125,13084.5341796875,3768843,0,0
2022-08-03 09:56:00-04:00,13083.94921875,13099.138671875,13083.94921875,13098.52734375,4581336,0,0
2022-08-03 09:57:00-04:00,13099.2451171875,13103.9228515625,13095.021484375,13095.021484375,3734683,0,0
2022-08-03 09:58:00-04:00,13097.1435546875,13101.7509765625,13097.1435546875,13101.2666015625,4136097,0,0
2022-08-03 09:59:00-04:00,13102.982421875,13103.2001953125,13094.4404296875,13094.4404296875,3327223,0,0
2022-08-03 10:00:00-04:00,13095.1328125,13095.1328125,13074.2021484375,13083.8671875,4692203,0,0
2022-08-03 10:01:00-04:00,13073.75390625,13087.572265625,13073.75390625,13082.3056640625,4124601,0,0
2022-08-03 10:02:00-04:00,13080.533203125,13095.8212890625,13080.533203125,13094.677734375,3438255,0,0
2022-08-03 10:03:00-04:00,13095.107421875,13115.171875,13095.107421875,13115.171875,3103526,0,0
2022-08-03 10:04:00-04:00,13118.3876953125,13125.6025390625,13118.3876953125,13123.68359375,4251050,0,0
2022-08-03 10:05:00-04:00,13133.107421875,13145.1708984375,13133.107421875,13139.861328125,4887570,0,0
2022-08-03 10:06:00-04:00,13141.408203125,13147.6005859375,13139.2421875,13147.6005859375,4106884,0,0
2022-08-03 10:07:00-04:00,13147.7626953125,13147.7626953125,13140.658203125,13142.7607421875,3378496,0,0
