,0
0,0.67
1,0.8490239999999999
2,0.4922198301081603
3,0.9597675607927838
4,0.14827695376379077
5,0.48495705118587423
6,0.9591310452133461
7,0.15052294395379318
8,0.4910046232215414
9,0.9596892794749959
10,0.14855334272931486
11,0.48570334883812444
12,0.9592151261397337
13,0.15022643682995893
14,0.4902084653081598
15,0.9596318432577735
16,0.14875610366769226
17,0.4862504651109083
18,0.9592740491148812
19,0.15001861558894716
20,0.4896500373723758
21,0.9595886525706501
22,0.14890855844465012
23,0.48666163071969154
24,0.9593168175549776
25,0.14986775466688307
26,0.4892444573874816
27,0.9595557822839434
28,0.14902457460246823
29,0.48697440294536304
30,0.9593484818740616
31,0.1497560532479803
32,0.4889440426121026
33,0.9595306206959501
34,0.14911337718833226
35,0.487213739258198
36,0.9593722042991718
37,0.14967236320250865
38,0.4887189000801983
39,0.9595113092528618
40,0.149181529607888
41,0.48739737919387705
42,0.9593901079634576
43,0.1496091982284395
44,0.4885489383701106
45,0.9594964730401861
46,0.1492338864523372
47,0.4875384329728056
48,0.9594036838933505
49,0.14956130006483895
50,0.48842003553697594
51,0.9594850729844548
52,0.14927411598516557
53,0.4876468004429295
54,0.9594140100891002
55,0.14952486656199215
56,0.48832197443178466
57,0.9594763150803
58,0.14930502098007903
59,0.487730041690434
60,0.9594218807926329
61,0.14949709612400564
62,0.4882472231980625
63,0.9594695893917842
64,0.14932875426871778
65,0.4877939612823194
66,0.9594278884562782
67,0.14947589878504533
68,0.4881901611550012
69,0.9594644263927877
70,0.14934697297745872
71,0.48784302581732714
72,0.9594324786382916
73,0.14945970267753875
74,0.488146559819829
75,0.9594604644706372
76,0.1493609532995573
77,0.4878806742873783
78,0.9594359882660022
79,0.1494473191144009
80,0.48811322082785014
81,0.9594574252067042
82,0.1493716777821152
83,0.48790955388929713
84,0.9594386730733216
85,0.1494378458289618
86,0.48808771608177115
87,0.9594550943687098
88,0.1493799024331775
89,0.4879317011797704
90,0.9594407276681689
91,0.14943059619741486
92,0.48806819757120007
93,0.9594533072286724
94,0.1493862085502791
95,0.4879486819017662
96,0.9594423004112455
97,0.1494250467564399
98,0.48805325628777846
99,0.9594519372083501
100,0.14939104279869822
