Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-09-01 09:30:00-04:00,31454.580078125,31454.580078125,31387.720703125,31404.509765625,0,0,0
2022-09-01 09:31:00-04:00,31401.560546875,31402.1796875,31363.44921875,31363.44921875,1787053,0,0
2022-09-01 09:32:00-04:00,31364.619140625,31369.740234375,31347.83984375,31357.19921875,1366974,0,0
2022-09-01 09:33:00-04:00,31358.7109375,31358.7109375,31328.439453125,31328.439453125,1129117,0,0
2022-09-01 09:34:00-04:00,31328.140625,31330.75,31312.189453125,31312.189453125,1294293,0,0
2022-09-01 09:35:00-04:00,31315.009765625,31325.76953125,31304.009765625,31309.359375,1402313,0,0
2022-09-01 09:36:00-04:00,31310.98046875,31335.919921875,31310.609375,31327.029296875,1130259,0,0
2022-09-01 09:37:00-04:00,31327.419921875,31334.26953125,31313.439453125,31314.9609375,972991,0,0
2022-09-01 09:38:00-04:00,31317.0703125,31317.759765625,31291.58984375,31303.689453125,1026371,0,0
2022-09-01 09:39:00-04:00,31303.5390625,31330.439453125,31301.720703125,31328.0703125,822526,0,0
2022-09-01 09:40:00-04:00,31327.08984375,31382.19921875,31326.30078125,31382.19921875,1216803,0,0
2022-09-01 09:41:00-04:00,31383.4296875,31383.4296875,31349.41015625,31358.0390625,1310519,0,0
2022-09-01 09:42:00-04:00,31354.810546875,31355.400390625,31338.109375,31339.060546875,857952,0,0
2022-09-01 09:43:00-04:00,31341.529296875,31349.4609375,31335.8203125,31349.4609375,479188,0,0
2022-09-01 09:44:00-04:00,31362.759765625,31370.26953125,31353.1796875,31358.26953125,1542913,0,0
2022-09-01 09:45:00-04:00,31357.7109375,31387.990234375,31354.970703125,31373.279296875,1055525,0,0
2022-09-01 09:46:00-04:00,31375.41015625,31379.099609375,31352.060546875,31354.970703125,1410610,0,0
2022-09-01 09:47:00-04:00,31355.919921875,31401.599609375,31344.439453125,31395.76953125,1286453,0,0
2022-09-01 09:48:00-04:00,31394.419921875,31409.359375,31387.380859375,31390.44921875,889145,0,0
2022-09-01 09:49:00-04:00,31389.390625,31389.390625,31356.44921875,31362.2890625,1182823,0,0
2022-09-01 09:50:00-04:00,31361.119140625,31368.970703125,31351.55078125,31365.619140625,1092891,0,0
2022-09-01 09:51:00-04:00,31365.830078125,31372.029296875,31360.1796875,31365.5703125,906178,0,0
2022-09-01 09:52:00-04:00,31365.869140625,31375.2890625,31358.6796875,31375.2890625,927969,0,0
2022-09-01 09:53:00-04:00,31374.94921875,31383.400390625,31374.720703125,31378.94921875,802022,0,0
2022-09-01 09:54:00-04:00,31380.939453125,31392.330078125,31377.169921875,31390.2109375,755179,0,0
2022-09-01 09:55:00-04:00,31389.890625,31389.890625,31344.5390625,31344.5390625,864300,0,0
2022-09-01 09:56:00-04:00,31344.7890625,31364.029296875,31343.7109375,31354.560546875,731810,0,0
2022-09-01 09:57:00-04:00,31355.19921875,31373.349609375,31351.05078125,31372.970703125,1322353,0,0
2022-09-01 09:58:00-04:00,31373.529296875,31386.099609375,31373.529296875,31376.109375,767416,0,0
2022-09-01 09:59:00-04:00,31376.859375,31392.310546875,31367.48046875,31390.330078125,974944,0,0
2022-09-01 10:00:00-04:00,31389.099609375,31414.439453125,31363.4296875,31367.310546875,1624259,0,0
2022-09-01 10:01:00-04:00,31370.859375,31387.51953125,31352.150390625,31356.890625,1036946,0,0
2022-09-01 10:02:00-04:00,31357.310546875,31362.140625,31300.439453125,31300.439453125,1624741,0,0
2022-09-01 10:03:00-04:00,31299.9609375,31302.779296875,31291.08984375,31292.330078125,986252,0,0
2022-09-01 10:04:00-04:00,31291.9609375,31291.9609375,31272.439453125,31276.310546875,871721,0,0
2022-09-01 10:05:00-04:00,31276.689453125,31287.6796875,31270.759765625,31279.83984375,870859,0,0
2022-09-01 10:06:00-04:00,31279.880859375,31302.9609375,31278.919921875,31300.880859375,954538,0,0
2022-09-01 10:07:00-04:00,31302.400390625,31306.91015625,31285.080078125,31286.380859375,794882,0,0
2022-09-01 10:08:00-04:00,31286.029296875,31302.0703125,31277.8203125,31294.5390625,746173,0,0
2022-09-01 10:09:00-04:00,31294.3203125,31310.400390625,31294.279296875,31306.1796875,221141,0,0
2022-09-01 10:10:00-04:00,31296.599609375,31296.599609375,31282.740234375,31289.560546875,1341413,0,0
2022-09-01 10:11:00-04:00,31288.0703125,31296.990234375,31276.009765625,31296.990234375,827982,0,0
2022-09-01 10:12:00-04:00,31297.580078125,31297.580078125,31286.23046875,31286.23046875,670345,0,0
2022-09-01 10:13:00-04:00,31287.0,31288.0,31251.279296875,31251.6796875,943957,0,0
2022-09-01 10:14:00-04:00,31251.669921875,31268.130859375,31250.099609375,31259.66015625,827691,0,0
2022-09-01 10:15:00-04:00,31256.4609375,31256.4609375,31239.880859375,31239.880859375,860536,0,0
2022-09-01 10:16:00-04:00,31239.619140625,31254.150390625,31228.240234375,31250.099609375,735028,0,0
2022-09-01 10:17:00-04:00,31246.0703125,31246.0703125,31226.16015625,31230.94921875,1083848,0,0
2022-09-01 10:18:00-04:00,31229.5703125,31253.029296875,31229.5703125,31251.580078125,676935,0,0
2022-09-01 10:19:00-04:00,31250.779296875,31251.33984375,31242.240234375,31246.33984375,671246,0,0
2022-09-01 10:20:00-04:00,31246.75,31256.6796875,31237.5390625,31256.369140625,726398,0,0
2022-09-01 10:21:00-04:00,31255.8203125,31284.890625,31249.109375,31283.3203125,2737853,0,0
2022-09-01 10:22:00-04:00,31282.73046875,31292.48046875,31282.73046875,31287.279296875,666578,0,0
2022-09-01 10:23:00-04:00,31286.919921875,31300.080078125,31277.380859375,31290.0390625,693743,0,0
2022-09-01 10:24:00-04:00,31289.16015625,31317.669921875,31286.4296875,31317.669921875,728606,0,0
2022-09-01 10:25:00-04:00,31321.259765625,31332.69921875,31318.640625,31324.75,942682,0,0
