,0
0,0.85
1,0.39525000000000005
2,0.74098505625
3,0.5949712282589714
4,0.7470394439892453
5,0.5858116906518022
6,0.7521726966171861
7,0.5778676863505315
8,0.7562035326094873
9,0.5715152246231001
10,0.7591452752060334
11,0.5668155516490067
12,0.7611606143793007
13,0.5635649138407812
14,0.7624744553580836
15,0.56143219688188
16,0.7633008640774245
17,0.5600852304258531
18,0.7638082717624837
19,0.5592561068240438
20,0.7641150127925783
21,0.5587541060544862
22,0.7642986605673885
23,0.5584532758690816
24,0.7644079650745366
25,0.5582741268159422
26,0.7644727910459024
27,0.5581678426688105
28,0.7645111564456952
29,0.5581049291588589
30,0.7645338333430765
31,0.5580677381521342
32,0.7645472271362751
33,0.558045770304975
34,0.7645551345040764
35,0.5580328005033431
36,0.7645598016037914
37,0.5580251452636238
38,0.7645625558031197
39,0.5580206276074556
40,0.7645641809933146
41,0.5580179618195438
42,0.7645651399295484
43,0.5580163888755812
44,0.7645657057276957
45,0.5580154607936997
46,0.7645660395575736
47,0.5580149132097432
48,0.7645662365203245
49,0.5580145901297623
50,0.7645663527294346
51,0.5580143995106777
52,0.764566421293188
53,0.5580142870447576
54,0.7645664617459342
55,0.5580142206896351
56,0.7645664856131005
57,0.5580141815400326
58,0.7645664996947446
59,0.5580141584417393
60,0.76456650800292
61,0.5580141448137367
62,0.7645665129047455
63,0.5580141367732117
64,0.7645665157968232
65,0.5580141320293008
66,0.7645665175031492
67,0.5580141292303932
68,0.7645665185098817
69,0.5580141275790373
70,0.7645665191038539
71,0.5580141266047374
72,0.7645665194542974
73,0.5580141260299004
74,0.7645665196610592
75,0.5580141256907467
76,0.7645665197830486
77,0.5580141254906459
78,0.7645665198550223
79,0.5580141253725864
80,0.7645665198974869
81,0.5580141253029313
82,0.764566519922541
83,0.5580141252618348
84,0.7645665199373228
85,0.5580141252375879
86,0.7645665199460442
87,0.5580141252232821
88,0.7645665199511897
89,0.5580141252148418
90,0.7645665199542256
